,clusters
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,-1
8,1
9,-1
10,-1
11,-1
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,-1
26,1
27,-1
28,-1
29,-1
30,-1
31,-1
32,-1
33,2
34,2
35,2
36,2
37,-1
38,-1
39,-1
40,-1
41,-1
42,-1
43,3
44,3
45,3
46,3
47,3
48,-1
49,-1
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,-1
61,-1
62,-1
63,-1
64,5
65,5
66,5
67,5
68,-1
69,-1
70,-1
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,-1
82,-1
83,-1
84,-1
85,-1
86,3
87,3
88,-1
89,-1
90,-1
91,-1
92,5
93,5
94,5
95,5
96,5
97,5
98,9
99,10
100,-1
101,-1
102,-1
103,-1
104,-1
105,-1
106,-1
107,-1
108,-1
109,-1
110,-1
111,-1
112,-1
113,-1
114,-1
115,6
116,6
117,6
118,6
119,6
120,6
121,6
122,6
123,6
124,-1
125,-1
126,-1
127,-1
128,-1
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,-1
143,4
144,-1
145,-1
146,-1
147,-1
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,3
198,3
199,3
200,7
201,7
202,7
203,8
204,-1
205,-1
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,-1
241,-1
242,-1
243,7
244,7
245,7
246,7
247,7
248,7
249,7
250,7
251,7
252,7
253,7
254,7
255,7
256,16
257,5
258,5
259,5
260,5
261,5
262,5
263,5
264,5
265,5
266,5
267,5
268,5
269,5
270,5
271,5
272,5
273,5
274,5
275,5
276,5
277,5
278,5
279,9
280,10
281,-1
282,-1
283,18
284,-1
285,5
286,5
287,-1
288,-1
289,-1
290,-1
291,-1
292,-1
293,-1
294,5
295,5
296,5
297,9
298,-1
299,-1
300,-1
301,-1
302,-1
303,7
304,7
305,7
306,7
307,7
308,7
309,7
310,7
311,7
312,7
313,7
314,7
315,-1
316,-1
317,-1
318,-1
319,-1
320,-1
321,-1
322,-1
323,-1
324,-1
325,-1
326,-1
327,-1
328,-1
329,-1
330,-1
331,-1
332,-1
333,-1
334,-1
335,-1
336,-1
337,-1
338,-1
339,-1
340,-1
341,-1
342,-1
343,-1
344,-1
345,-1
346,12
347,12
348,11
349,-1
350,8
351,-1
352,-1
353,2
354,-1
355,-1
356,8
357,-1
358,-1
359,-1
360,-1
361,-1
362,-1
363,5
364,5
365,5
366,5
367,5
368,5
369,5
370,5
371,5
372,5
373,5
374,5
375,5
376,5
377,5
378,5
379,5
380,5
381,5
382,5
383,5
384,5
385,5
386,-1
387,-1
388,-1
389,-1
390,6
391,6
392,6
393,6
394,6
395,6
396,6
397,6
398,6
399,6
400,6
401,6
402,6
403,-1
404,-1
405,-1
406,-1
407,-1
408,4
409,4
410,4
411,4
412,4
413,4
414,4
415,4
416,4
417,4
418,4
419,4
420,-1
421,-1
422,-1
423,-1
424,3
425,3
426,3
427,3
428,3
429,3
430,3
431,3
432,3
433,3
434,3
435,3
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,-1
453,1
454,-1
455,-1
456,-1
457,0
458,-1
459,1
460,-1
461,-1
462,5
463,5
464,5
465,5
466,5
467,5
468,5
469,5
470,5
471,5
472,5
473,5
474,5
475,5
476,5
477,5
478,5
479,5
480,5
481,-1
482,-1
483,-1
484,-1
485,-1
486,3
487,3
488,3
489,3
490,3
491,3
492,3
493,0
494,0
495,0
