,classes
0,following
1,following
2,following
3,following
4,following
5,following
6,following
7,following
8,following
9,following
10,following
11,following
12,following
13,following
14,following
15,following
16,following
17,following
18,following
19,following
20,following
21,following
22,following
23,following
24,following
25,following
26,following
27,following
28,following
29,following
30,following
31,following
32,else
33,free driving
34,free driving
35,free driving
36,free driving
37,else
38,else
39,following
40,following
41,following
42,following
43,following
44,following
45,following
46,following
47,following
48,following
49,following
50,following
51,following
52,following
53,following
54,following
55,following
56,following
57,following
58,following
59,following
60,following
61,following
62,following
63,following
64,free driving
65,free driving
66,free driving
67,else
68,following
69,following
70,following
71,following
72,following
73,following
74,following
75,following
76,following
77,following
78,following
79,following
80,following
81,following
82,following
83,following
84,following
85,following
86,following
87,following
88,free driving
89,free driving
90,free driving
91,free driving
92,free driving
93,free driving
94,free driving
95,free driving
96,free driving
97,free driving
98,free driving
99,free driving
100,free driving
101,free driving
102,free driving
103,free driving
104,free driving
105,free driving
106,free driving
107,free driving
108,free driving
109,free driving
110,free driving
111,else
112,following
113,following
114,following
115,following
116,following
117,following
118,following
119,following
120,following
121,following
122,following
123,following
124,following
125,following
126,following
127,following
128,following
129,following
130,following
131,following
132,following
133,following
134,following
135,following
136,following
137,following
138,following
139,following
140,following
141,following
142,following
143,following
144,following
145,following
146,following
147,following
148,following
149,following
150,following
151,following
152,following
153,following
154,following
155,following
156,following
157,following
158,following
159,following
160,following
161,following
162,following
163,following
164,following
165,following
166,following
167,following
168,following
169,following
170,following
171,following
172,following
173,following
174,following
175,following
176,following
177,following
178,following
179,following
180,following
181,following
182,following
183,following
184,following
185,following
186,following
187,following
188,following
189,following
190,following
191,following
192,following
193,following
194,following
195,following
196,following
197,following
198,following
199,following
200,free driving
201,free driving
202,free driving
203,free driving
204,free driving
205,free driving
206,free driving
207,free driving
208,free driving
209,free driving
210,free driving
211,free driving
212,free driving
213,free driving
214,free driving
215,free driving
216,free driving
217,free driving
218,free driving
219,free driving
220,free driving
221,free driving
222,free driving
223,free driving
224,free driving
225,free driving
226,free driving
227,free driving
228,free driving
229,free driving
230,free driving
231,free driving
232,free driving
233,free driving
234,free driving
235,free driving
236,free driving
237,free driving
238,free driving
239,free driving
240,free driving
241,free driving
242,free driving
243,free driving
244,free driving
245,free driving
246,free driving
247,free driving
248,free driving
249,free driving
250,free driving
251,free driving
252,free driving
253,free driving
254,free driving
255,free driving
256,else
257,free driving
258,free driving
259,free driving
260,free driving
261,free driving
262,free driving
263,free driving
264,free driving
265,free driving
266,free driving
267,free driving
268,free driving
269,free driving
270,free driving
271,free driving
272,free driving
273,free driving
274,free driving
275,free driving
276,free driving
277,free driving
278,free driving
279,free driving
280,free driving
281,free driving
282,free driving
283,free driving
284,free driving
285,free driving
286,free driving
287,free driving
288,free driving
289,free driving
290,free driving
291,free driving
292,free driving
293,free driving
294,free driving
295,free driving
296,free driving
297,free driving
298,free driving
299,free driving
300,free driving
301,free driving
302,free driving
303,free driving
304,free driving
305,free driving
306,free driving
307,free driving
308,free driving
309,free driving
310,free driving
311,free driving
312,free driving
313,free driving
314,free driving
315,free driving
316,free driving
317,else
318,else
319,following
320,free driving
321,free driving
322,free driving
323,free driving
324,free driving
325,free driving
326,free driving
327,free driving
328,free driving
329,free driving
330,free driving
331,free driving
332,free driving
333,free driving
334,free driving
335,free driving
336,free driving
337,free driving
338,free driving
339,free driving
340,free driving
341,free driving
342,free driving
343,free driving
344,free driving
345,free driving
346,free driving
347,free driving
348,free driving
349,free driving
350,free driving
351,free driving
352,free driving
353,free driving
354,free driving
355,free driving
356,free driving
357,free driving
358,free driving
359,free driving
360,free driving
361,free driving
362,free driving
363,free driving
364,free driving
365,free driving
366,free driving
367,free driving
368,free driving
369,free driving
370,free driving
371,free driving
372,free driving
373,free driving
374,free driving
375,free driving
376,free driving
377,free driving
378,free driving
379,free driving
380,free driving
381,free driving
382,free driving
383,free driving
384,free driving
385,free driving
386,free driving
387,free driving
388,else
389,following
390,following
391,following
392,following
393,following
394,following
395,following
396,following
397,following
398,following
399,following
400,following
401,following
402,following
403,following
404,following
405,following
406,following
407,following
408,following
409,following
410,following
411,following
412,following
413,following
414,following
415,following
416,following
417,following
418,following
419,following
420,following
421,following
422,following
423,following
424,following
425,following
426,following
427,following
428,following
429,following
430,following
431,following
432,following
433,following
434,following
435,following
436,following
437,following
438,following
439,following
440,following
441,following
442,following
443,following
444,following
445,following
446,following
447,following
448,following
449,following
450,following
451,following
452,following
453,following
454,following
455,following
456,following
457,following
458,following
459,following
460,following
461,following
462,free driving
463,free driving
464,free driving
465,free driving
466,free driving
467,free driving
468,free driving
469,free driving
470,free driving
471,free driving
472,free driving
473,free driving
474,free driving
475,free driving
476,free driving
477,free driving
478,free driving
479,free driving
480,free driving
481,free driving
482,free driving
483,else
484,else
485,following
486,following
487,following
488,following
489,following
490,following
491,following
492,following
493,following
494,following
495,following
496,following
497,following
498,following
499,following
500,following
501,following
502,following
503,following
504,following
505,following
506,following
507,following
508,following
509,following
510,following
511,following
512,following
513,following
514,following
515,following
516,cut in
517,cut in
518,cut in
519,cut in
520,cut in
521,free driving
522,free driving
523,free driving
524,free driving
525,free driving
526,free driving
527,free driving
528,free driving
529,free driving
530,free driving
531,free driving
532,free driving
533,free driving
534,free driving
535,free driving
536,free driving
537,free driving
538,free driving
539,free driving
540,free driving
541,free driving
542,free driving
543,free driving
544,free driving
545,free driving
546,free driving
547,free driving
548,free driving
549,else
550,free driving
551,free driving
552,free driving
553,free driving
554,free driving
555,free driving
556,free driving
557,free driving
558,free driving
559,free driving
560,free driving
561,free driving
562,free driving
563,free driving
564,free driving
565,free driving
566,free driving
567,free driving
568,free driving
569,free driving
570,free driving
571,free driving
572,free driving
573,free driving
574,free driving
575,free driving
576,free driving
577,free driving
578,free driving
579,free driving
580,free driving
581,free driving
582,free driving
583,free driving
584,free driving
585,free driving
586,free driving
587,free driving
588,free driving
589,free driving
590,free driving
591,free driving
592,free driving
593,free driving
594,free driving
595,free driving
596,free driving
597,free driving
598,free driving
599,free driving
600,free driving
601,free driving
602,free driving
603,free driving
604,free driving
605,free driving
606,free driving
607,else
608,free driving
609,free driving
610,free driving
611,free driving
612,free driving
613,free driving
614,free driving
615,free driving
616,free driving
617,free driving
618,free driving
619,free driving
620,free driving
621,free driving
622,free driving
623,free driving
624,free driving
625,free driving
626,free driving
627,free driving
628,free driving
629,else
630,else
631,free driving
632,free driving
633,free driving
634,free driving
635,free driving
636,free driving
637,free driving
638,free driving
639,free driving
640,free driving
641,free driving
642,free driving
643,free driving
644,free driving
645,free driving
646,free driving
647,free driving
648,free driving
649,free driving
650,free driving
651,free driving
652,free driving
653,free driving
654,free driving
655,free driving
656,free driving
657,free driving
658,free driving
659,free driving
660,free driving
661,free driving
662,free driving
663,free driving
664,free driving
665,free driving
666,free driving
667,free driving
668,free driving
669,free driving
670,free driving
671,free driving
672,free driving
673,free driving
674,free driving
675,free driving
676,free driving
677,free driving
678,free driving
679,free driving
680,free driving
681,free driving
682,free driving
683,free driving
684,free driving
685,else
686,else
687,following
688,following
689,following
690,following
691,free driving
692,free driving
693,free driving
694,free driving
695,free driving
696,free driving
697,free driving
698,free driving
699,free driving
700,free driving
701,free driving
702,free driving
703,free driving
704,free driving
705,free driving
706,free driving
707,free driving
708,free driving
709,free driving
710,free driving
711,free driving
712,free driving
713,free driving
714,free driving
715,free driving
716,cut in
717,cut in
718,cut in
719,cut in
720,cut in
721,free driving
722,free driving
723,free driving
724,free driving
725,free driving
726,free driving
727,free driving
728,free driving
729,free driving
730,free driving
731,free driving
732,free driving
733,free driving
734,free driving
735,free driving
736,free driving
737,free driving
738,free driving
739,free driving
740,free driving
741,free driving
742,free driving
743,free driving
744,else
745,else
746,free driving
747,free driving
748,free driving
749,free driving
750,free driving
751,free driving
752,free driving
753,free driving
754,free driving
755,free driving
756,free driving
757,free driving
758,free driving
759,free driving
760,free driving
761,free driving
762,free driving
763,free driving
764,free driving
765,free driving
766,free driving
767,free driving
768,free driving
769,free driving
770,free driving
771,free driving
772,free driving
773,free driving
774,free driving
775,free driving
776,free driving
777,free driving
778,cut in
779,cut in
780,cut in
781,cut in
782,cut in
783,free driving
784,free driving
785,free driving
786,free driving
787,free driving
788,free driving
789,free driving
790,free driving
791,free driving
792,free driving
793,free driving
794,free driving
795,free driving
796,free driving
797,free driving
798,free driving
799,free driving
800,free driving
801,free driving
802,free driving
803,else
804,else
805,following
806,following
807,following
808,following
809,following
810,following
811,following
812,following
813,following
814,following
815,following
816,following
817,following
818,following
819,following
820,following
821,following
822,following
823,following
824,following
825,following
826,following
827,following
828,following
829,following
830,following
831,following
832,following
833,following
834,following
835,following
836,following
837,following
838,following
839,following
840,following
841,following
842,following
843,following
844,following
845,following
846,following
847,following
848,following
849,following
850,following
851,following
852,following
853,else
854,else
855,free driving
856,free driving
857,free driving
858,free driving
859,free driving
860,free driving
861,free driving
862,free driving
863,free driving
864,free driving
865,free driving
866,else
867,else
868,following
869,following
870,following
871,following
872,following
873,following
874,following
875,following
876,following
877,following
878,following
879,following
880,following
881,following
882,following
883,following
884,following
885,following
886,following
887,following
888,free driving
889,free driving
890,free driving
891,free driving
892,free driving
893,free driving
894,free driving
895,free driving
896,free driving
897,free driving
898,free driving
899,free driving
900,free driving
901,free driving
902,free driving
903,free driving
904,free driving
905,free driving
906,free driving
907,free driving
908,free driving
909,free driving
910,else
911,free driving
912,free driving
913,free driving
914,free driving
915,free driving
916,free driving
917,free driving
918,free driving
919,free driving
920,free driving
921,free driving
922,free driving
923,free driving
924,free driving
925,free driving
926,free driving
927,free driving
928,free driving
929,free driving
930,free driving
931,free driving
932,free driving
933,free driving
934,free driving
935,free driving
936,free driving
937,free driving
938,free driving
939,free driving
940,cut in
941,cut in
942,cut in
943,cut in
944,cut in
945,cut in
946,cut in
947,cut in
948,free driving
949,free driving
950,free driving
951,free driving
952,free driving
953,free driving
954,free driving
955,free driving
956,free driving
957,free driving
958,free driving
959,free driving
960,free driving
961,free driving
962,free driving
963,free driving
964,free driving
965,free driving
966,free driving
967,free driving
968,free driving
969,free driving
970,free driving
971,free driving
972,free driving
973,free driving
974,free driving
975,free driving
976,free driving
977,free driving
978,free driving
979,else
980,following
981,free driving
982,free driving
983,free driving
984,free driving
985,free driving
986,free driving
987,free driving
988,free driving
989,free driving
990,free driving
991,free driving
992,free driving
993,free driving
994,free driving
995,free driving
996,free driving
997,free driving
998,free driving
999,free driving
1000,free driving
1001,free driving
1002,free driving
1003,free driving
1004,free driving
1005,free driving
1006,free driving
1007,free driving
1008,free driving
1009,free driving
1010,free driving
1011,free driving
1012,free driving
1013,free driving
1014,free driving
1015,free driving
1016,free driving
1017,free driving
1018,free driving
1019,free driving
1020,free driving
1021,free driving
1022,free driving
1023,free driving
1024,free driving
1025,free driving
1026,free driving
1027,free driving
1028,free driving
1029,free driving
1030,free driving
1031,free driving
